carrier,origin_destination,code,description,tail_num,origin,destination,id,dep_time,distance,aircraft_engine_code,site_number
UA,ATL,101956,101956,N335UA,ORD,ATL,101956,1328,606,896,10397
UA,ATL,101957,101957,N910UA,ORD,ATL,101957,1330,606,896,10397
UA,ATL,101958,101958,N329UA,ORD,ATL,101958,1318,606,896,10397
UA,ATL,101959,101959,N337UA,ORD,ATL,101959,1310,606,896,10397
UA,ATL,101960,101960,N314UA,ORD,ATL,101960,1311,606,896,10397
UA,ATL,101961,101961,N350UA,ORD,ATL,101961,1311,606,896,10397
UA,ATL,101962,101962,N318UA,ORD,ATL,101962,1318,606,896,10397
UA,ATL,101963,101963,N366UA,ORD,ATL,101963,1309,606,896,10397
UA,ATL,101964,101964,N327UA,ORD,ATL,101964,1310,606,896,10397
UA,ATL,101965,101965,N335UA,ORD,ATL,101965,1323,606,896,10397
UA,ATL,101966,101966,N338UA,ORD,ATL,101966,1310,606,896,10397
UA,ATL,101967,101967,N365UA,ORD,ATL,101967,1413,606,896,10397
UA,ATL,101968,101968,N327UA,ORD,ATL,101968,1328,606,896,10397
UA,ATL,101969,101969,N348UA,ORD,ATL,101969,1330,606,896,10397
UA,ATL,101970,101970,,ORD,ATL,101970,,606,896,10397
UA,ATL,101971,101971,N301UA,ORD,ATL,101971,1314,606,896,10397
UA,ATL,101972,101972,N350UA,ORD,ATL,101972,1314,606,896,10397
UA,ATL,101973,101973,N313UA,ORD,ATL,101973,1319,606,896,10397
UA,ATL,101974,101974,N310UA,ORD,ATL,101974,1311,606,896,10397
UA,ATL,101975,101975,N346UA,ORD,ATL,101975,1310,606,896,10397
UA,ATL,101976,101976,N903UA,ORD,ATL,101976,1309,606,896,10397
UA,ATL,101977,101977,N329UA,ORD,ATL,101977,1315,606,896,10397
UA,ATL,101978,101978,N338UA,ORD,ATL,101978,1335,606,896,10397
UA,ATL,101979,101979,N338UA,ORD,ATL,101979,1315,606,896,10397
UA,ATL,101980,101980,,ORD,ATL,101980,,606,896,10397
UA,ATL,101981,101981,N301UA,ORD,ATL,101981,1312,606,896,10397
UA,ATL,101982,101982,N342UA,ORD,ATL,101982,1337,606,896,10397
YV,OKC,102,102,N77302,ORD,OKC,102,1251,693,7379,13851
UA,SFO,102200,102200,N559UA,ORD,SFO,102200,1744,1846,907,14771
UA,SFO,102201,102201,N539UA,ORD,SFO,102201,1702,1846,907,14771
UA,SFO,102202,102202,N540UA,ORD,SFO,102202,1725,1846,907,14771
UA,SFO,102203,102203,N539UA,ORD,SFO,102203,1734,1846,907,14771
UA,SFO,102204,102204,N574UA,ORD,SFO,102204,1711,1846,907,14771
UA,SFO,102205,102205,N563UA,ORD,SFO,102205,1756,1846,907,14771
UA,SFO,102206,102206,,ORD,SFO,102206,,1846,907,14771
UA,SFO,102207,102207,N676UA,ORD,SFO,102207,1709,1846,907,14771
UA,SFO,102208,102208,N671UA,ORD,SFO,102208,1656,1846,907,14771
UA,SFO,102209,102209,N675UA,ORD,SFO,102209,1720,1846,907,14771
OH,CVG,10221,10221,N967CA,MSP,CVG,10221,1530,596,5156,11193
UA,SFO,102210,102210,N431UA,ORD,SFO,102210,1741,1846,907,14771
UA,SFO,102211,102211,N844UA,ORD,SFO,102211,1705,1846,907,14771
UA,SFO,102212,102212,N213UA,ORD,SFO,102212,1707,1846,907,14771
UA,SFO,102213,102213,N666UA,ORD,SFO,102213,1701,1846,907,14771
UA,SFO,102214,102214,N675UA,ORD,SFO,102214,1708,1846,907,14771
UA,SFO,102215,102215,N675UA,ORD,SFO,102215,1657,1846,907,14771
UA,SFO,102216,102216,N567UA,ORD,SFO,102216,1845,1846,907,14771
UA,SFO,102217,102217,N588UA,ORD,SFO,102217,1721,1846,907,14771
UA,SFO,102218,102218,N173UA,ORD,SFO,102218,1824,1846,907,14771
UA,SFO,102219,102219,,ORD,SFO,102219,,1846,907,14771
